Genus,species,Strain,FileName,Marine,Ome,Taxa,PennateCentric,PennateCentric_citekey,Rad1_um,Rad2_um,Rad3_um,Rad_ref,Rad_citekey,Flagella,Flagella_citekey,GenomeSize_mbp,GeneModels_count,Genome_ref,Genome_citekey,Database,AccessionInfo,LiveLink,Latitude,Longitude,LogLat_ref,LogLat_citekey,ColonySpecies,Colony_citekey,ColonyCitation_other,Notes
Coscinodiscus,wailesii,CCMP2513,Nannochloropsis_oceanica_CCMP1779-dna-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],44,44,44,https://ncma.bigelow.org/ccmp2513#.XnkuV9NKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,0,,[@johnsonReassemblyQualityEvaluation2019],MMETSP,MMETSP1066,https://figshare.com/articles/dataset/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153,31.43,-80.36,https://ncma.bigelow.org/ccmp2513#.XnkuV9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@miklaszPhysicalConstraintsSize2012],https://www.proquest.com/docview/2462625926/abstract/4E7753534BFE45DBPQ/1,
Chaetoceros,debilis,MM31A_1,Nannochloropsis_gaditana_CCMP526-aa-gen,yes,Genome,Diatom,Centric,[@phytopediaPhytoPediaPhytoplankton2012],6.5,7.5,12,https://www.eoas.ubc.ca/research/phytoplankton/diatoms/centric/chaetoceros/c_debilis.html,[@phytopediaPhytoPediaPhytoplankton2012],no,[@nanjappaDiatomFlagellarGenes2017],1,19453,,[@keelingMarineMicrobialEukaryote2014],iMicrobe,Chaetoceros-debilis-MM31A_1.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,,,,,0,[@gaonkarSpeciesDetectionDelineation2020],https://onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.14984,
Conticribra_Thalassiosira,weissflogii,CCMP1010,Nannochloropsis_gaditana_CCMP526-dna-trans,yes,Transcriptome,Diatom,Centric,[@re3data.orgBigelowNationalCenter2017],5.5,5.5,7.75,https://ncma.bigelow.org/ccmp1010#.XnlsO9NKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@nanjappaDiatomFlagellarGenes2017],1,21329,,[@keelingMarineMicrobialEukaryote2014],iMicrobe,Thalassiosira-weissflogii-CCMP1010.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37.00,-65.00,https://ncma.bigelow.org/ccmp1010#.XnlsO9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@hevia-orubeMolecularMorphologicalAnalyses2016],https://doi.org/10.1080/09670262.2015.1077394,
Cyclotella,cryptica,CCMP332,Nannochloropsis_salina_CCMP1776-aa-gen,yes,Genome,Diatom,Centric,[@trallerGenomeMethylomeOleaginous2016],4.5,4.5,7,,[@trallerGenomeMethylomeOleaginous2016],no,[@nanjappaDiatomFlagellarGenes2017],161.7,21121,,[@trallerGenomeMethylomeOleaginous2016],UCLA,Nuclear genome,http://genomes.mcdb.ucla.edu/Cyclotella/download.html,41.36,-70.66,,,0,[@hevia-orubeMolecularMorphologicalAnalyses2016],https://doi.org/10.1080/09670262.2015.1077394,
Nannochloropsis,oceanica,CCMP1779,Ostreococcus_tauri_RCC1115-aa-gen,yes,Genome,Eustigmatophyte,,,1.5,1.5,1.5,https://ncma.bigelow.org/ccmp1779#.Xn08ItNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@guoGenomeAssemblyNannochloropsis2019],28.74,10641,,[@vielerGenomeFunctionalGene2012],JGI,1143084,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29.00,48.00,https://ncma.bigelow.org/ccmp1779#.Xn08ItNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sudaTaxonomicCharacterizationMarine2002a],https://www.tandfonline.com/doi/full/10.2216/i0031-8884-41-3-273.1,
Nannochloropsis,oceanica,CCMP1779,Ostreococcus_tauri_RCC1115-dna-trans,yes,Transcriptome,Eustigmatophyte,,,1.5,1.5,1.5,https://ncma.bigelow.org/ccmp1779#.Xn08ItNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@guoGenomeAssemblyNannochloropsis2019],1,0,,[@vielerGenomeFunctionalGene2012],JGI,1143084,https://mycocosm.jgi.doe.gov/Nanoce1779_2/Nanoce1779_2.home.html,29.00,48.00,https://ncma.bigelow.org/ccmp1779#.Xn08ItNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sudaTaxonomicCharacterizationMarine2002a],https://www.tandfonline.com/doi/full/10.2216/i0031-8884-41-3-273.2,
Nannochloropsis,gaditana,CCMP526,Ostreococcus_tauri_RCC4221-aa-gen,yes,Genome,Eustigmatophyte,,,1.5,1.5,2.5,https://ncma.bigelow.org/ccmp526#.Xn08CtNKhQJ,[@re3data.orgBigelowNationalCenter2017],no,[@radakovitsDraftGenomeSequence2012],30.3,9052,,[@sudaTaxonomicCharacterizationMarine2002],NCBI,ASM24072v1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.83,-9.00,https://ncma.bigelow.org/ccmp526#.Xn08CtNKhQJ,[@re3data.orgBigelowNationalCenter2017],0,[@mitraEuryhalineNannochloropsisGaditana2015],https://www.sciencedirect.com/science/article/pii/S2211926415000326,
Nannochloropsis,gaditana,CCMP526,Ostreococcus_tauri_RCC4221-dna-trans,yes,Transcriptome,Eustigmatophyte,,,1.5,1.5,2.5,https://ncma.bigelow.org/ccmp526#.Xn08CtNKhQJ,[@re3data.orgBigelowNationalCenter2017],no,[@radakovitsDraftGenomeSequence2012],1,0,,[@sudaTaxonomicCharacterizationMarine2002],NCBI,ASM24072v1,https://www.ncbi.nlm.nih.gov/assembly/GCF_000240725.1/,32.83,-9.00,https://ncma.bigelow.org/ccmp526#.Xn08CtNKhQJ,[@re3data.orgBigelowNationalCenter2017],0,[@mitraEuryhalineNannochloropsisGaditana2015],https://www.sciencedirect.com/science/article/pii/S2211926415000326,
(Nannochloropsis) Microchloropsis,salina,CCMP1776,Bathycoccus_prasinos_RCC1105-aa-gen,yes,Genome,Eustigmatophyte,,,1.25,1.25,1.5,https://ncma.bigelow.org/ccmp1776#.Xn07kNNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@ohanNuclearGenomeAssembly2019],27.757,10522,,[@oliverDiploidGenomicArchitecture2021],NCBI,ASM456527v1,https://www.ncbi.nlm.nih.gov/genome/75342?genome_assembly_id=739695,55.75,-4.96,https://ncma.bigelow.org/ccmp1776#.Xn07kNNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@krienitzFoodAlgaeLesser2016],https://doi.org/10.1007/s10750-016-2706-x,
Ostreococcus,tauri,RCC1115,Bathycoccus_prasinos_RCC1105-dna-trans,yes,Transcriptome,Green,,,0.5,0.5,0.5,http://roscoff-culture-collection.org/rcc-strain-details/1115,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],14.76,8218,,[@blanc-mathieuPopulationGenomicsPicophytoplankton2017],NCBI,GCA_002158475.1,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.90,3.03,http://roscoff-culture-collection.org/rcc-strain-details/1115,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],https://www.degruyter.com/document/doi/10.1515/BOT.2008.035/html,
Ostreococcus,tauri,RCC1115,Micromonas_pusilla_CCMP1545-aa-gen,yes,Genome,Green,,,0.5,0.5,0.5,http://roscoff-culture-collection.org/rcc-strain-details/1115,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],1,0,,[@blanc-mathieuPopulationGenomicsPicophytoplankton2017],JGI,Ostreococcus tauri RCC1115 v1.0: Ostta1115_2_GeneCatalog_transcripts_20170131.nt.fasta.gz,https://phycocosm.jgi.doe.gov/Ostta1115_2/Ostta1115_2.home.html,42.90,3.03,http://roscoff-culture-collection.org/rcc-strain-details/1115,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],https://www.degruyter.com/document/doi/10.1515/BOT.2008.035/html,
Ostreococcus,tauri,RCC4221,Micromonas_pusilla_CCMP1545-dna-trans,yes,Transcriptome,Green,,,0.5,0.5,0.5,http://roscoff-culture-collection.org/rcc-strain-details/4221,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],13.03,7669,,,NCBI,GCF_000214015.3,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.40,3.60,http://roscoff-culture-collection.org/rcc-strain-details/4221,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],https://www.degruyter.com/document/doi/10.1515/BOT.2008.035/html,
Ostreococcus,tauri,RCC4221,Coccomyxa_sp_C169-aa-gen,yes,Genome,Green,,,0.5,0.5,0.5,http://roscoff-culture-collection.org/rcc-strain-details/4221,[@vaulotRoscoffCultureCollection2004],no,[@palenikTinyEukaryoteOstreococcus2007],1,0,,,NCBI,GCF_000214015.2,https://www.ncbi.nlm.nih.gov/assembly/GCF_000214015.3,42.40,3.60,http://roscoff-culture-collection.org/rcc-strain-details/4221,[@vaulotRoscoffCultureCollection2004],0,[@ooijenGenomicTransformationPicoeukaryote2012],https://www.degruyter.com/document/doi/10.1515/BOT.2008.035/html,
Bathycoccus,prasinos,RCC1105,Coccomyxa_sp_C169-dna-trans,yes,Transcriptome,Green,,,0.75,0.75,0.75,,[@moreauGeneFunctionalitiesGenome2012],no,[@moreauGeneFunctionalitiesGenome2012],15.07,7900,,[@moreauGeneFunctionalitiesGenome2012],NCBI,ASM222023v1,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,http://roscoff-culture-collection.org/rcc-strain-details/1105,[@vaulotRoscoffCultureCollection2004],0,[@marinMolecularPhylogenyClassification2010],https://www.sciencedirect.com/science/article/pii/S1434461009000807,
Bathycoccus,prasinos,RCC1105,Dunaliella_salina_CCAP1918-aa-gen,yes,Genome,Green,,,0.75,0.75,0.75,,[@moreauGeneFunctionalitiesGenome2012],no,[@moreauGeneFunctionalitiesGenome2012],1,0,,[@moreauGeneFunctionalitiesGenome2012],NCBI,ASM222023v1,https://www.ncbi.nlm.nih.gov/genome/12309?genome_assembly_id=323984,42.45,3.53,http://roscoff-culture-collection.org/rcc-strain-details/1105,[@vaulotRoscoffCultureCollection2004],0,[@marinMolecularPhylogenyClassification2010],https://www.sciencedirect.com/science/article/pii/S1434461009000808,
Micromonas,pusilla,CCMP1545,Dunaliella_salina_CCAP1918-dna-trans,yes,Transcriptome,Green,,,1.25,1.25,1.5,https://ncma.bigelow.org/ccmp1545#.Xn1HV9NKhQI,[@re3data.orgBigelowNationalCenter2017],yes,[@throndsenPlanktonicMarineFlagellates1997],21.958,10242,,[@wordenGreenEvolutionDynamic2009],NCBI,GCA_000151265.1,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.37,-4.17,https://ncma.bigelow.org/ccmp1545#.Xn1HV9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@slapetaGlobalDispersalAncient2006],https://doi.org/10.1093/molbev/msj001,
Micromonas,pusilla,CCMP1545,Picocystis_salinarum_CCMP1897-aa-trans,yes,Transcriptome,Green,,,1.25,1.25,1.5,https://ncma.bigelow.org/ccmp1545#.Xn1HV9NKhQI,[@re3data.orgBigelowNationalCenter2017],yes,[@throndsenPlanktonicMarineFlagellates1997],1,0,,[@wordenGreenEvolutionDynamic2009],NCBI,GCA_000151265.1,https://www.ncbi.nlm.nih.gov/genome/501?genome_assembly_id=281477,50.37,-4.17,https://ncma.bigelow.org/ccmp1545#.Xn1HV9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@slapetaGlobalDispersalAncient2006],https://doi.org/10.1093/molbev/msj001,
Coccomyxa,subellipsoidea,C-169,Emiliania_huxleyi_CCMP1516-aa-gen,yes,Genome,Green,,,2.4,2.4,3.6,,[@blancGenomePolarEukaryotic2012],no,[@blancGenomePolarEukaryotic2012],49,9629,,[@blancGenomePolarEukaryotic2012],JGI,Coccomyxa_C169_v2_filtered_proteins.fasta.gz,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,,,,,0,[@takahashiLipidProductivityTALENinduced2018],https://www.sciencedirect.com/science/article/pii/S2211926417310986,
Coccomyxa,subellipsoidea,C-169,Emiliania_huxleyi_CCMP1516-dna-trans,yes,Transcriptome,Green,,,2.4,2.4,3.6,,[@blancGenomePolarEukaryotic2012],no,[@blancGenomePolarEukaryotic2012],1,0,,[@blancGenomePolarEukaryotic2012],JGI,Coccomyxa_C169_v2_filtered_transcripts.fasta.gz,https://mycocosm.jgi.doe.gov/Coc_C169_1/Coc_C169_1.home.html,,,,,0,[@takahashiLipidProductivityTALENinduced2018],https://www.sciencedirect.com/science/article/pii/S2211926417310987,
Dunaliella,salina,CCAP 19/18,Tisochrysis_lutea-aa-gen,yes,Transcriptome,Green,,,4.5,4.5,8,,[@heimannChapterMicroalgalClassification2015],yes,[@orenHundredYearsDunaliella2005],343.7,18801,,[@polleDraftNuclearGenome2017],JGI,"Dunaliella salina CCAP19/18: Project: 1014865, Dunsal1_1_GeneCatalog_proteins_20200511.aa.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,,,,,0,[@vaulotRoscoffCultureCollection2004],https://roscoff-culture-collection.org/rcc-strain-details/3579,
Dunaliella,salina,CCAP 19/18,Aureococcus_anophagefferens_CCMP1984-aa-gen,yes,Genome,Green,,,4.5,4.5,8,,[@heimannChapterMicroalgalClassification2015],yes,[@orenHundredYearsDunaliella2005],1,0,,[@polleDraftNuclearGenome2017],JGI,"Dunaliella salina CCAP19/18: Project: 1014865, Dunsal1_1_GeneCatalog_transcripts_20200511.nt.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dunsal1_1,,,,,0,[@vaulotRoscoffCultureCollection2004],https://roscoff-culture-collection.org/rcc-strain-details/3580,
Picocystis,salinarium,CCMP1897,Aureococcus_anophagefferens_CCMP1984-dna-trans,yes,Transcriptome,Green,,,1.75,1.75,1.75,https://ncma.bigelow.org/ccmp1897#.Xn2TCdNKhQI,[@re3data.orgBigelowNationalCenter2017],no,[@dossantosChloropicophyceaeNewClass2017],1,6947,,[@keelingMarineMicrobialEukaryote2014],iMicrobe,Picocystis-salinarum-CCMP1897.pep.fa.gz,ftp://ftp.imicrobe.us/camera/combined_assemblies/,37.78,-122.35,https://ncma.bigelow.org/ccmp1897#.Xn2TCdNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@krienitzPicocystisSalinarumChlorophyta2012],https://doi.org/10.2216/11-28.1,
Emiliania,huxleyi,CCMP1516,Pelagophyceae_sp_CCMP2097-aa-gen,yes,Genome,Haptophyte,,,3.25,3.25,3.25,,[@borowitzkaBiologyMicroalgae2018],yes,[@borowitzkaBiologyMicroalgae2018],167.676,38554,,[@readPanGenomePhytoplankton2013],NCBI,GCA_000372725.1,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.67,-82.72,https://ncma.bigelow.org/ccmp1516#.Xn2PddNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sekinoRoleCoccolithsUtilization1996],https://doi.org/10.1093/oxfordjournals.pcp.a028921,
Emiliania,huxleyi,CCMP1516,Pelagophyceae_sp_CCMP2097-dna-trans,yes,Transcriptome,Haptophyte,,,3.25,3.25,3.25,,[@borowitzkaBiologyMicroalgae2018],yes,[@borowitzkaBiologyMicroalgae2018],1,0,,[@readPanGenomePhytoplankton2013],NCBI,GCA_000372725.1,https://www.ncbi.nlm.nih.gov/assembly/678008,-2.67,-82.72,https://ncma.bigelow.org/ccmp1516#.Xn2PddNKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sekinoRoleCoccolithsUtilization1996],https://doi.org/10.1093/oxfordjournals.pcp.a028922,
Tisochrysis,lutea,-,Pelagococcus_subviridis_CCMP1429-aa-trans,yes,Transcriptome,Haptophyte,,,2.5,2.5,3,,[@bendifDescriptionTisochrysisLutea2013],yes,[@bendifDescriptionTisochrysisLutea2013],54.4,20582,,[@carrierDraftGenomesAlgae2017],SEANOE,Protein_sequencesV1,https://www.seanoe.org/data/00361/47171/,,,,,0,[@bendifDescriptionTisochrysisLutea2013a],https://doi.org/10.1007/s10811-013-0037-0,
Aureococcus,anophagefferens,CCMP1984,Porphyridium_purpureum_CCMP1328-aa-gen,yes,Genome,Pelagophyte,,,1.75,1.75,1.75,,[@beltramiChapterViralOutbreaks2013],no,[@caronDevelopmentApplicationMonoclonalAntibody2003],56.661,11522,,[@goblerNicheHarmfulAlga2011],NCBI,GCA_000186865.1 v 1.0,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.67,-73.27,https://ncma.bigelow.org/ccmp1984#.Xn1lG9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sieburthUltrastructureEcologyAureococcus1988],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.1988.tb04485.x,
Aureococcus,anophagefferens,CCMP1984,Minidiscus_variabilis_CCMP495-aa-gen,yes,Genome,Pelagophyte,,,1.75,1.75,1.75,,[@beltramiChapterViralOutbreaks2013],no,[@caronDevelopmentApplicationMonoclonalAntibody2003],1,0,,[@goblerNicheHarmfulAlga2011],NCBI,GCA_000186865.1 v 1.0,https://www.ncbi.nlm.nih.gov/assembly/GCF_000186865.1/,40.67,-73.27,https://ncma.bigelow.org/ccmp1984#.Xn1lG9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@sieburthUltrastructureEcologyAureococcus1988],https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.1988.tb04485.x,
Pelagophyceae,sp.,CCMP2097,Minidiscus_variabilis_CCMP495-dna-trans,yes,Transcriptome,Pelagophyte,,,4.5,4.5,4.5,https://ncma.bigelow.org/ccmp2097#.Xn1jy9NKhQI,[@re3data.orgBigelowNationalCenter2017],yes,[@ribeiroCulturableDiversityArctic2019],85.82,19402,,,JGI,"Pelagophyceae sp. CCMP2097 v1.0: Project: 1020062, Pelago2097_1_GeneCatalog_proteins_20160408.aa.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.00,-77.24,https://ncma.bigelow.org/ccmp2097#.Xn1jy9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],https://roscoff-culture-collection.org/rcc-strain-details/5675,
Pelagophyceae,sp.,CCMP2097,Prochlorococcus_marinus_AS9601-aa-gen,yes,Genome,Pelagophyte,,,4.5,4.5,4.5,https://ncma.bigelow.org/ccmp2097#.Xn1jy9NKhQI,[@re3data.orgBigelowNationalCenter2017],yes,[@ribeiroCulturableDiversityArctic2019],1,0,,,JGI,"Pelagophyceae sp. CCMP2097 v1.0: Project: 1020062, Pelago2097_1_GeneCatalog_transcripts_20160408.nt.fasta.gz",https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Pelago2097_1,77.00,-77.24,https://ncma.bigelow.org/ccmp2097#.Xn1jy9NKhQI,[@re3data.orgBigelowNationalCenter2017],0,[@vaulotRoscoffCultureCollection2004],https://roscoff-culture-collection.org/rcc-strain-details/5676,
